"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.0496333342,       2.812619986,       2.481083994,       5.684798125
          0,           0,           1,     -0.1236041473,        2.69986707,       2.423493247,       5.620697027
          0,           0,           2,     -0.1815618359,       2.641941131,       2.408542253,       5.562948662
          0,           0,           3,     -0.2353753505,        2.61509553,       2.404675388,        5.48900861
          0,           0,           4,     -0.2795286892,       2.596948085,       2.400759096,       5.403223194
          0,           0,           5,     -0.2966917955,       2.585556841,       2.395192506,        5.33476441
          0,           0,           6,     -0.2787497326,       2.585877629,       2.387060289,       5.320775342
          0,           0,           7,     -0.2394646436,       2.599544093,       2.374464442,       5.357264918
          0,           0,           8,      -0.194566059,       2.622640525,         2.3563651,       5.411170429
          0,           0,           9,     -0.1545009366,       2.649328946,       2.333836906,       5.461234194
          0,           0,          10,     -0.1231574629,       2.674983992,       2.310364579,       5.501239127
          0,           0,          11,     -0.1014898847,       2.696608395,       2.290445491,       5.530376218
          0,           0,          12,    -0.08934060913,       2.712269362,       2.277523431,       5.548973969
          0,           0,          13,    -0.08611903701,       2.720772667,       2.272563825,       5.557498132
          0,           0,          14,    -0.09096707189,       2.721605058,       2.274016858,        5.55657108
          0,           0,          15,     -0.1026807428,       2.714972278,         2.2789112,       5.547238641
          0,           0,          16,     -0.1196314388,        2.70172834,        2.28406736,       5.531086508
          0,           0,          17,      -0.139933821,       2.683192255,       2.286702919,       5.510129601
          0,           0,          18,     -0.1614135502,       2.661051797,       2.285167895,        5.48680778
          0,           0,          19,     -0.1820169119,       2.637137911,       2.278849804,       5.463598274
          0,           0,          20,     -0.2001644201,       2.613249852,       2.268125446,       5.442609841
          0,           0,          21,     -0.2150341384,       2.590971407,       2.254182296,       5.425164881
          0,           0,          22,     -0.2266188741,       2.571493445,       2.238700074,       5.411588177
          0,           0,          23,     -0.2355403887,       2.555484101,       2.223451404,       5.401327699
          0,           0,          24,     -0.2426842106,       2.543099832,       2.209920453,       5.393394027
          0,           0,          25,      -0.248883003,       2.534115091,       2.198973272,       5.386816662
          0,           0,          26,     -0.2547124125,       2.528121809,       2.190748256,       5.380953344
          0,           0,          27,     -0.2604419362,       2.524679832,       2.184754567,       5.375558522
          0,           0,          28,     -0.2660863555,       2.523380228,       2.180134235,       5.370687988
          0,           0,          29,      -0.271552685,       2.523808072,       2.175925391,       5.366490014
          0,           0,          30,     -0.2766657872,        2.52554659,       2.171331156,       5.363116998
          0,           0,          31,     -0.2813123168,       2.528135083,       2.165787624,       5.360576742
          0,           0,          32,     -0.2855006931,       2.531072464,       2.159025506,       5.358696979
          0,           0,          33,     -0.2893483364,        2.53386545,       2.151003829,       5.357172961
          0,           0,          34,     -0.2930446171,       2.536082037,       2.141864132,       5.355648598
          0,           0,          35,     -0.2968208594,       2.537365444,       2.131855483,       5.353759919
          0,           0,          36,     -0.3008902438,       2.537476676,       2.121280827,       5.351222664
          0,           0,          37,       -0.30544471,       2.536268288,       2.110437548,       5.347822186
          0,           0,          38,     -0.3106414955,       2.533667351,       2.099586137,        5.34341185
          0,           0,          39,     -0.3165863289,       2.529668741,       2.088939893,       5.337914268
          0,           0,          40,     -0.3233340807,       2.524319103,       2.078648745,       5.331306447
